DAFTAR SATUAN PENDIDIKAN JENJANG SMA,,,,,,,,,,,,,,,,
TAHUN AJARAN 2024/2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR
SMAN 1 BALEENDAH,20206151,SMA,-,Baleendah,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375,-7.000800000000,107.622600000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 BANJARAN,20251791,SMA,Neglasari,Ciapus,Kec. Banjaran,Kab. Bandung,Prov. Jawa Barat,40377,-7.053200000000,107.589500000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 BOJONGSOANG,20227903,SMA,-,Tegalluar,Kec. Bojongsoang,Kab. Bandung,Prov. Jawa Barat,40297,-6.980900000000,107.682500000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 CICALENGKA,20251792,SMA,-,Babakanpeuteuy,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395,-6.983800000000,107.842000000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 CIKANCUNG,20227904,SMA,-,Cihanyir,Kec. Cikancung,Kab. Bandung,Prov. Jawa Barat,40396,-7.026000000000,107.815400000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 CILEUNYI,20251793,SMA,CIBIRU WETAN,Cibiru Wetan,Kec. Cileunyi,Kab. Bandung,Prov. Jawa Barat,40625,-6.940000000000,107.723300000000,NEGERI,A,Ada,Ada,Air kemasan,Cukup
SMAN 1 CIPARAY,20206145,SMA,Cipaku,Pakutandang,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381,-7.053700000000,107.709300000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 CIWIDEY,20206213,SMA,Panyocokan,Panyocokan,Kec. Ciwidey,Kab. Bandung,Prov. Jawa Barat,40973,-7.098500000000,107.465000000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 DAYEUHKOLOT,20227889,SMA,-,Sukapura,Kec. Dayeuhkolot,Kab. Bandung,Prov. Jawa Barat,40267,-6.968500000000,107.634100000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 KATAPANG,20227905,SMA,-,Banyusari,Kec. Katapang,Kab. Bandung,Prov. Jawa Barat,40971,-7.008178300000,107.557651600000,NEGERI,A,Ada,Ada,Pompa,Cukup
